Folder_Name;Clean_Title;Search_Title;Platforms;Year_Folder;Path_Root;Path_Video;Untested;Metadata_Locked;Status_Flag;Summary;Genre;Developer;Publisher;Image_Link;Trailer_Link;Original_Release_Date;Remake_Release_Date;Developer / Publisher;Poster_URL;Empty
Guntech 2;Guntech 2;Guntech 2;Warez;;\\madhdd02\Software\GAMES\GAMES\ARCADE\Guntech 2;\\madhdd02\Software\GAMES\GAMES\ARCADE\Guntech 2.mp4;False;False;OK;Blast aliens and fight dragons in this action-packed retro-style space shooter!;Shooter, Arcade;;;./images\Guntech 2.jpg;;2022.0;;;images\Guntech 2.jpg;False
Luftrausers;Luftrausers;Luftrausers;Warez;;\\madhdd02\Software\GAMES\GAMES\ARCADE\Luftrausers;\\madhdd02\Software\GAMES\GAMES\ARCADE\Luftrausers.mp4;False;False;OK;The skies will be set aflame and the seas will overflow with wreckage in Vlambeer's stylish arcade shooter LUFTRAUSERS! Select from over 125 combinations of weapons, bodies, and propulsion systems and take to the skies to battle enemy fighter planes, battleships, submarines, and rival aces for glory, honor, and high scores.;Simulator, Strategy, Indie, Arcade;;;./images\Luftrausers.jpg;;2014.0;;;images\Luftrausers.jpg;False
New Joe & Mac Caveman Ninja;New Joe & Mac Caveman Ninja;New Joe & Mac Caveman Ninja;Warez;;\\madhdd02\Software\GAMES\GAMES\ARCADE\New Joe & Mac Caveman Ninja;\\madhdd02\Software\GAMES\GAMES\ARCADE\New Joe & Mac Caveman Ninja.mp4;False;False;OK;We're back in the distant Past, when “Rock & Roll” was just about rocks and “Fast food”, a dinner that you couldn’t catch. 2 cave dudes named Joe & Mac live in a peaceful and cool village. Cool it was, until a bogus bunch of Neanderthal snatched all the village’s women!;Platform, Adventure, Arcade;;;./images\New Joe  Mac Caveman Ninja.jpg;;2022.0;;;images\New Joe & Mac Caveman Ninja.jpg;False
Panzer Dragoon Remake;Panzer Dragoon Remake;Panzer Dragoon;Warez;;\\madhdd02\Software\GAMES\GAMES\ARCADE\Panzer Dragoon Remake;\\madhdd02\Software\GAMES\GAMES\ARCADE\Panzer Dragoon Remake.mp4;False;False;OK;"Panzer Dragoon II Zwei is an ""on-rails"" shoot 'em up game released exclusively for the Sega Saturn. It was the second Panzer Dragoon game released but it is a prequel of the series. It was developed by Team Andromeda, one of Sega's internal development studios.";Shooter;;;./images\Panzer Dragoon Remake.jpg;;1996.0;;;images\Panzer Dragoon Remake.jpg;False
PixelJunk Shooter Ultimate;PixelJunk Shooter Ultimate;PixelJunk Shooter Ultimate;Warez;;\\madhdd02\Software\GAMES\GAMES\ARCADE\PixelJunk Shooter Ultimate;\\madhdd02\Software\GAMES\GAMES\ARCADE\PixelJunk Shooter Ultimate.mp4;False;False;OK;"CAN YOU SAVE THE SCIENTISTS ON APOXUS PRIME?

PixelJunk Shooter Ultimate is a twin-stick shooter with equal elements of action and puzzle solving.

Saving scientists and uncovering the mysteries of an ill-fated research trip requires you to study and manipulate your environment! Blast through rock, grapple huge blocks of ice, detonate explosive gas or unleash torrents of water, lava, magnetic oil and even corrosive stomach acid onto unsuspecting enemies! All powered by an advanced dynamic fluid simulation.

Enjoy PixelJunk Shooter and Shooter 2 in a seamless campaign stretching across 150 levels
Carry across your progress from PixelJunk Shooter and jump straight in where you left off.
Brand new UI, enhanced environmental lighting, reimagined VFX and vivid fluids.
Fly the campaign solo or alongside a friend in local co-op
Take on the world in the chaotic Online Battle mode.
Prove you've got what it takes and rise to the top of the Global Rankings
Play in both the “Classic” Shooter art style and the brand new “Ultimate” style.
Capture your most epic moments with the new Photo Mode.";Shooter, Puzzle, Adventure;;;./images\PixelJunk Shooter Ultimate.jpg;;2014.0;;;images\PixelJunk Shooter Ultimate.jpg;False
R-Type Final 2;R-Type Final 2;R-Type Final 2;Warez;;\\madhdd02\Software\GAMES\GAMES\ARCADE\R-Type Final 2;\\madhdd02\Software\GAMES\GAMES\ARCADE\R-Type Final 2.mp4;False;False;OK;R-Type has returned! The legendary side-scroller is back and better than ever with beautifully rendered 3D graphics, exhilarating shoot-'em-up gameplay, and a multitude of stages, ships, and weapons that will allow you to conduct a symphony of destruction upon your foes.;Shooter, Platform, Arcade;;;./images\RType Final 2.jpg;;2021.0;;;images\R-Type Final 2.jpg;False
Raptor - Call Of The Shadows 2010 Edition;Raptor - Call Of The Shadows 2010 Edition;Raptor Call Of The Shadows 2010 Edition;Warez;;\\madhdd02\Software\GAMES\GAMES\ARCADE\Raptor - Call Of The Shadows 2010 Edition;\\madhdd02\Software\GAMES\GAMES\ARCADE\Raptor - Call Of The Shadows 2010 Edition.mp4;False;False;OK;As a mercenary in the not-so-distant future, flying the super-advanced Raptor space fighter, you'll be sent on interplanetary missions to knock out your MegaCorp's top competitors. Battle against hordes of relentless enemies. Spend the bounties claimed for their demise to expand your devastating arsenal!;Shooter, Arcade;;;./images\Raptor  Call Of The Shadows 2010 Edition.jpg;;2010.0;;;images\Raptor - Call Of The Shadows 2010 Edition.jpg;False
Rhythm Storm;Rhythm Storm;Rhythm Storm;Warez;;\\madhdd02\Software\GAMES\GAMES\ARCADE\Rhythm Storm;\\madhdd02\Software\GAMES\GAMES\ARCADE\Rhythm Storm.mp4;False;False;OK;Rhythm Storm is a roguelike bullet heaven with stunning vector graphics, rhythmic action, and overwhelming swarms of enemies. Your vehicle aims and fires automatically while everything else dances and moves to the beat in this spectacular audio-visual experience.;Indie;;;./images\Rhythm Storm.jpg;;2025.0;;;images\Rhythm Storm.jpg;False
Streets of Rage 4;Streets of Rage 4;Streets of Rage 4;Warez;;\\madhdd02\Software\GAMES\GAMES\ARCADE\Streets of Rage 4;\\madhdd02\Software\GAMES\GAMES\ARCADE\Streets of Rage 4.mp4;False;False;OK;"Streets of Rage 4 is an unreleased game developed as a sequel to Streets of Rage 3. There have been at least two attempts at creating Streets of Rage 4, the first eventually seeing release in the re-branded form of Fighting Force, however a more ""pure"" attempt at a sequel, developed in-house by Sega was due for release on the Sega Dreamcast at one stage.";Hack and slash/Beat 'em up;;;;;;;;;False
Terminal Velocity - Boosted Edition;Terminal Velocity - Boosted Edition;Terminal Velocity Boosted Edition;Warez;;\\madhdd02\Software\GAMES\GAMES\ARCADE\Terminal Velocity - Boosted Edition;\\madhdd02\Software\GAMES\GAMES\ARCADE\Terminal Velocity - Boosted Edition.mp4;False;False;OK;In the far future, armadas from surrounding systems have suddenly waged war on Earth. You are a pilot from the Ares Squadron, flying the fastest, most dangerous crafts ever made. You're outgunned, outmanned, and strapped into a flying coffin.;Shooter, Simulator, Adventure;;;./images\Terminal Velocity  Boosted Edition.jpg;;2023.0;;;images\Terminal Velocity - Boosted Edition.jpg;False
The House Of The Dead 2 Remake;The House Of The Dead 2 Remake;The House Of The Dead 2;Warez;;\\madhdd02\Software\GAMES\GAMES\ARCADE\The House Of The Dead 2 Remake;\\madhdd02\Software\GAMES\GAMES\ARCADE\The House Of The Dead 2 Remake.mp4;False;False;OK;The House of the Dead 2 is a first-person light gun shooter arcade game with a horror theme and the second game in The House of the Dead series of video games. The direct sequel to The House of the Dead, it was developed by Sega for arcades on the Sega NAOMI board in November 1998 then later ported to the Dreamcast in 1999 and Microsoft Windows in 2001, and is also found on the Xbox as an unlockable bonus in The House of the Dead III. The game appears in the compilation The House of the Dead 2 & 3 Return for Wii. The Dreamcast version became a Sega All Stars title.;Shooter;;;./images\The House Of The Dead 2 Remake.jpg;;1998.0;;;images\The House Of The Dead 2 Remake.jpg;False
The House Of The Dead Remake;The House Of The Dead Remake;The House Of The Dead;Warez;;\\madhdd02\Software\GAMES\GAMES\ARCADE\The House Of The Dead Remake;\\madhdd02\Software\GAMES\GAMES\ARCADE\The House Of The Dead Remake.mp4;False;False;OK;Play as an ambitious YouTuber known for exploring paranormal and creepypasta stories. Your latest video takes you to a hauntingly beautiful, abandoned mansion, rumored to hide dark secrets.;Adventure;;;./images\The House Of The Dead Remake.jpg;;2025.0;;;images\The House Of The Dead Remake.jpg;False
Banishers - Ghosts of New Eden;Banishers - Ghosts of New Eden;Banishers Ghosts of New Eden;Warez;;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Banishers - Ghosts of New Eden;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Banishers - Ghosts of New Eden.mp4;False;False;OK;Hunt ghosts as two memorable characters in a story-driven Action-RPG where your decisions carry dramatic consequences. Torn between honoring your oath to the living and saving your departed partner, how far will you go for love?;Role-playing (RPG), Adventure;;;./images\Banishers  Ghosts of New Eden.jpg;;2024.0;;;images\Banishers - Ghosts of New Eden.jpg;False
Biomutant;Biomutant;Biomutant;Warez;;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Biomutant;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Biomutant.mp4;False;False;OK;Biomutant is an open-world, post-apocalyptic Kung-Fu fable RPG, with a unique martial arts styled combat system allowing you to mix melee, shooting and mutant ability action. A plague is ruining the land and the Tree-of-Life is bleeding death from its roots. The Tribes stand divided. Explore a world in turmoil and define its fate, will you be its savior or lead it to an even darker destiny?;Role-playing (RPG), Adventure;;;./images\Biomutant.jpg;;2021.0;;;images\Biomutant.jpg;False
Clair Obscur Expedition 33;Clair Obscur Expedition 33;Clair Obscur Expedition 33;Warez;;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Clair Obscur Expedition 33;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Clair Obscur Expedition 33.mp4;False;False;OK;Lead the members of Expedition 33 on their quest to destroy the Paintress so that she can never paint death again. Explore a world of wonders inspired by Belle Époque France and battle unique enemies in this turn-based RPG with real-time mechanics.;Role-playing (RPG), Adventure, Indie;;;./images\Clair Obscur Expedition 33.jpg;;2025.0;;;images\Clair Obscur Expedition 33.jpg;False
Dead Rising Deluxe Remaster;Dead Rising Deluxe Remaster;Dead Rising Deluxe;Warez;;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Dead Rising Deluxe Remaster;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Dead Rising Deluxe Remaster.mp4;False;False;OK;"Dead Rising returns with modern graphics! More than just a remaster, this Deluxe Remaster is a full graphical overhaul of the first game in zombie-slaughtering action game series ""Dead Rising."" This remaster has also been fully voiced, supports auto-saves, and has various other quality-of-life features. Witness the unmatched mayhem and freedom for yourself!";Hack and slash/Beat 'em up, Adventure;;;./images\Dead Rising Deluxe Remaster.jpg;;2024.0;;;images\Dead Rising Deluxe Remaster.jpg;False
Haven;Haven;Haven;Warez;;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Haven;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Haven.mp4;False;False;OK;"A sandbox game set in an Iron Age world loosely inspired by Slavic and Germanic myth and legend.

Players start the game surrounded by a vast and somewhat unforgiving wilderness, with only the most basic tools of survival at their disposal. The use of fire is a thematic focal point of the game's mythos, and an early and important task will be the simple lighting of one.

As the first hearth fires disperse the darkness of the surrounding wilderness, more pressing questions will present themselves to the players: Who are they? Where are they? And, most importantly, where are they going?

From this point on, players will have to blaze trails of their own into the unknown, the wilderness and the future, and explore and affect the world of Haven & Hearth using only their own best judgment and a chipped stone axe. Trust us, the stone axe is the shit.

As players progress, they will be able to acquire new skills and abilities, allowing them to perform a variety of tasks—such as the claiming of land, the construction of buildings and the cultivation of crops—each step forward making the basic task of survival somewhat easier. Having progressed far enough, players will, in time, be able to organize themselves into societies, from simple tribes and villages, progressing through republics, nation states and, ultimately, empires.";Role-playing (RPG), Adventure;;;./images\Haven.jpg;;;;;images\Haven.jpg;False
Jade Empire;Jade Empire;Jade Empire;Warez;;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Jade Empire;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Jade Empire.mp4;False;False;OK;Set in an ancient world inspired by mythical China, Jade Empire lets you train under your master's watchful eye as you learn powerful martial arts and mystical powers. When danger threatens, you'll travel across the world, from the harsh mountains of the Land of Howling Spirits to the lush gardens of the Imperial City. In your adventures, you must face powerful human and supernatural foes, learn the exotic and magical martial arts, and discover the darkest secrets of the world. Practice the greatest fighting styles and defeat the most powerful enemies to become a master of martial arts.;Role-playing (RPG), Adventure;;;./images\Jade Empire.jpg;;2005.0;;;images\Jade Empire.jpg;False
Jusant;Jusant;Jusant;Warez;;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Jusant;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Jusant.mp4;False;False;OK;Enjoy meditative vibes in Jusant, an action-puzzle climbing game. Scale an immeasurably tall tower and ascend to new heights alongside your watery companion. Master your climbing tools, find your way up through diverse biomes, and piece together the tower's past.;Platform, Puzzle, Adventure;;;./images\Jusant.jpg;;2023.0;;;images\Jusant.jpg;False
Phoning Home;Phoning Home;Phoning Home;Warez;;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Phoning Home;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Phoning Home.mp4;False;False;OK;"You play ION, a young exploration unit on a mission to secure natural resources. When you crash-land on an alien planet your ship is almost completely destroyed. Not only do you have to survive in a strange new world full of dangers, but to have even a hope of escape you must find a way to contact your home planet for help.

With only your ship’s A.I. for company, you set out to explore your new home. On your journey you encounter ANI, a small, stranded service unit who identifies as female. ANI is the first to admit she’s a bit mad, but she is also a valuable resource, and it soon becomes clear that there will be no escape without her.

And so, the two of you begin a journey that neither of you is prepared for, on a planet where even the laws of nature seem not to apply. A journey in which ION and ANI must face the strangest of all possible challenges if they are to have any hope of living to tell their own story.";Adventure, Indie;;;./images\Phoning Home.jpg;;2017.0;;;images\Phoning Home.jpg;False
Remember Me;Remember Me;Remember Me;Warez;;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Remember Me;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Remember Me.mp4;False;False;OK;A psychological horror game and visual novel that will test your morality, your ability to adapt, and your willpower to remain sane under pressure...;Strategy, Adventure, Indie, Visual Novel;;;./images\Remember Me.jpg;;2017.0;;;images\Remember Me.jpg;False
Rise of the Ronin;Rise of the Ronin;Rise of the Ronin;Warez;;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Rise of the Ronin;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Rise of the Ronin.mp4;False;False;OK;Rise of the Rōnin is a combat focused open-world action RPG that takes place in Japan at a time of great change. It is the very end of a 300-year long Edo Period, commonly known as “Bakumatsu”. Set in the late 19th century, Japan is facing the darkest of times as it struggles with its oppressive rulers and deadly diseases while western influence permeates as civil war continues to rage between the Tokugawa Shogunate and the Anti-Shogunate factions.;Role-playing (RPG), Adventure;;;./images\Rise of the Ronin.jpg;;2024.0;;;images\Rise of the Ronin.jpg;False
Sand Land;Sand Land;Sand Land;Warez;;\\madhdd02\Software\GAMES\_TEMP\+++\Sand Land;\\madhdd02\Software\GAMES\_TEMP\+++\Sand Land.mp4;True;False;OK;Sand Land is an action RPG where you become the main character as Beelzebub, a Fiend Prince. Lead your company of heroic misfits and explore the legendary world of Sand Land developed by the creator of Dragon Ball & Dr. Slump, Akira Toriyama.;Role-playing (RPG);;;./images\Sand Land.jpg;;2024.0;;;images\Sand Land.jpg;False
Sekiro Shadows Die Twice;Sekiro Shadows Die Twice;Sekiro Shadows Die Twice;Warez;;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Sekiro Shadows Die Twice;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Sekiro Shadows Die Twice.mp4;False;False;OK;Carve your own clever path to vengeance as you come face-to-face with larger than life foes in FromSoftware's dark and twisted adventure set in feudal Japan. Unleash an arsenal of deadly prosthetic tools and ninja abilities, while blending stealth, vertical traversal, and visceral combat. Survive a relentless and bloody confrontation on a quest to restore your honor and save the one you're sworn to protect.;Adventure;;;./images\Sekiro Shadows Die Twice.jpg;;2019.0;;;images\Sekiro Shadows Die Twice.jpg;False
Sleeping Dogs, Definitive Edition;Sleeping Dogs, Definitive Edition;Sleeping Dogs, Definitive Edition;Warez;;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Sleeping Dogs, Definitive Edition;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Sleeping Dogs, Definitive Edition.mp4;False;False;OK;"The Definitive Edition of the critically acclaimed, award winning open-world action adventure, reworked, rebuilt and re-mastered for the new generation. With all previously available DLC included and a wealth of tech and visual improvements, Hong Kong has never felt so alive.

A vibrant, neon city teaming with life, Hong Kong’s exotic locations and busy streets and markets hide one of the most powerful and dangerous criminal organizations in the world: the notorious Triads. Play as Wei Shen – the highly skilled undercover cop trying to take down the Triads from the inside out. You'll have to prove yourself worthy as you fight your way up the organization, taking part in brutal criminal activities without blowing your cover.

Destroy your opponents in brutal hand-to-hand combat using an unmatched martial arts system. Dominate Hong Kong’s buzzing streets in thrilling illegal street races and tear it up in explosive firearms action. Sleeping Dogs’ Hong Kong is the ultimate playground.";Shooter, Racing, Hack and slash/Beat 'em up, Adventure;;;./images\Sleeping Dogs Definitive Edition.jpg;;2014.0;;;images\Sleeping Dogs, Definitive Edition.jpg;False
Stranglehold;Stranglehold;Stranglehold;Warez;;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Stranglehold;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Stranglehold.mp4;False;False;OK;"John Woo Presents Stranglehold stars martial arts star Chow Yun-Fat as Inspector Tequila, a detective in Hong Kong's police force who is traveling the globe in search of his kidnapped daughter. The game features a single-player story mode in which players take the role of Tequila and fight their way through cities such as Hong Kong and Chicago to locate the missing child who is held captive by mafia members and gangsters. Players will have the opportunity to earn style points by performing such moves as running up banisters while shooting and when enough points are acquired gamers can execute moves that include the ""Tequila Bomb"" or enter ""Tequila Time."" ""Tequila Time"" is a sequence during a gunfight when enemies are slowed down while players maintain their speed, making it easier to hit enemy targets. Up to eight players can get involved in multiplayer action through the Internet, and the environments within the game are fully destructible and interactive.";Shooter;;;./images\Stranglehold.jpg;;2007.0;;;images\Stranglehold.jpg;False
Stray;Stray;Stray;Warez;;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Stray;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Stray.mp4;False;False;OK;A fantasy tactical RPG where you command over 70 characters across grid-based battles. Customize skills, unleash flashy Spell Cards, and enjoy rich animations in a strategic, story-driven adventure set in the world of Touhou.;Role-playing (RPG), Simulator;;;./images\Stray.jpg;;2022.0;;;images\Stray.jpg;False
The Medium;The Medium;The Medium;Warez;;\\madhdd02\Software\GAMES\GAMES\AVENTURE\The Medium;\\madhdd02\Software\GAMES\GAMES\AVENTURE\The Medium.mp4;False;False;OK;Discover a dark mystery only a medium can solve. Explore the real world and the spirit world at the same time. Use your psychic abilities to solve puzzles spanning both worlds, uncover deeply disturbing secrets, and survive encounters with The Maw - a monster born from an unspeakable tragedy. The Medium is a third-person psychological horror game that features patented dual-reality gameplay and an original soundtrack.;Adventure;;;./images\The Medium.jpg;;2021.0;;;images\The Medium.jpg;False
The Sinking City Remastered;The Sinking City Remastered;The Sinking City;Warez;;\\madhdd02\Software\GAMES\GAMES\AVENTURE\The Sinking City Remastered;\\madhdd02\Software\GAMES\GAMES\AVENTURE\The Sinking City Remastered.mp4;False;False;OK;"The Sinking City is a game of investigation genre taking place in a fictional open world inspired by the works of H.P. Lovecraft.
The player incarnates a private investigator in 1920s, who finds himself in a city of New England, Oakmont Massachusetts. It's currently suffering from extensive waterflood, and its cause is clearly supernatural.";Shooter, Puzzle, Role-playing (RPG), Adventure;;;./images\The Sinking City Remastered.jpg;;2019.0;;;images\The Sinking City Remastered.jpg;False
Wo Long;Wo Long;Wo Long;Warez;;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Wo Long;\\madhdd02\Software\GAMES\GAMES\AVENTURE\Wo Long.mp4;False;False;OK;"Wo Long: Fallen Dynasty is a historical fantasy action role-playing video game developed by Team Ninja and published by Koei Tecmo.

Set during a fictionalised version of the fall of the Han Dynasty, the plot follows an unnamed protagonist who battles historical characters and Chinese mythological creatures corrupted by demonic qi.";Role-playing (RPG), Adventure;;;./images\Wo Long.jpg;;2023.0;;;images\Wo Long.jpg;False
Balance;Balance;Balance;Warez;;\\madhdd02\Software\GAMES\GAMES\BALL GAMES\Balance;\\madhdd02\Software\GAMES\GAMES\BALL GAMES\Balance.mp4;False;False;OK;Balance is a puzzle game where players tilt a platform to guide a ball through maze-like levels, avoiding hazards and triggering targets. It features simple vector graphics and is known for its high difficulty.;Puzzle;;;./images\Balance.jpg;;1993.0;;;images\Balance.jpg;False
Ballex² The Hanging Gardens;Ballex² The Hanging Gardens;Ballex² The Hanging Gardens;Warez;;\\madhdd02\Software\GAMES\GAMES\BALL GAMES\Ballex² The Hanging Gardens;\\madhdd02\Software\GAMES\GAMES\BALL GAMES\Ballex² The Hanging Gardens.mp4;False;False;OK;Ballex² is a third-person rolling ball game, the sequel to Ballex. You will control a ball, enjoy the scenery of the four seasons, overcome obstacles and solve various puzzles.;Racing, Adventure, Indie;;;./images\Ballex² The Hanging Gardens.jpg;;2022.0;;;images\Ballex² The Hanging Gardens.jpg;False
Groovy;Groovy;Groovy;Warez;;\\madhdd02\Software\GAMES\GAMES\BALL GAMES\Groovy;\\madhdd02\Software\GAMES\GAMES\BALL GAMES\Groovy.mp4;False;False;OK;Groovy is a fast-paced precision platformer where you can manipulate the colors of the world. Use your color powers to avoid traps, walk through walls, and launch through levels.;Platform, Indie;;;./images\Groovy.jpg;;2022.0;;;images\Groovy.jpg;False
Leo's Fortune;Leo's Fortune;Leo's Fortune;Warez;;\\madhdd02\Software\GAMES\GAMES\BALL GAMES\Leo's Fortune;\\madhdd02\Software\GAMES\GAMES\BALL GAMES\Leo's Fortune.mp4;False;False;OK;Leo’s Fortune is an award-winning platform adventure game where you hunt down the cunning and mysterious thief that stole your gold. Beautifully hand-crafted levels bring the story of Leo to life in this epic adventure.;Platform, Puzzle, Adventure, Indie, Arcade;;;./images\Leos Fortune.jpg;;2014.0;;;images\Leo's Fortune.jpg;False
